Net Income,symbol,Year
96995000000.0,AAPL,2023
99803000000.0,AAPL,2022
94680000000.0,AAPL,2021
57411000000.0,AAPL,2020
14999000000.0,TSLA,2023
12583000000.0,TSLA,2022
5524000000.0,TSLA,2021
721000000.0,TSLA,2020
72361000000.0,MSFT,2023
72738000000.0,MSFT,2022
61271000000.0,MSFT,2021
44281000000.0,MSFT,2020
4368000000.0,NVDA,2023
9752000000.0,NVDA,2022
4332000000.0,NVDA,2021
73795000000.0,GOOGL,2023
59972000000.0,GOOGL,2022
76033000000.0,GOOGL,2021
40269000000.0,GOOGL,2020
30425000000.0,AMZN,2023
-2722000000.0,AMZN,2022
33364000000.0,AMZN,2021
21331000000.0,AMZN,2020
39098000000.0,META,2023
23200000000.0,META,2022
39370000000.0,META,2021
29146000000.0,META,2020
851740000000.0,TSM,2023
992923400000.0,TSM,2022
592359200000.0,TSM,2021
510744000000.0,TSM,2020
14082000000.0,AVGO,2023
11495000000.0,AVGO,2022
6736000000.0,AVGO,2021
2960000000.0,AVGO,2020
115216000000.0,TCEHY,2023
188243000000.0,TCEHY,2022
224822000000.0,TCEHY,2021
159847000000.0,TCEHY,2020
100389000000.0,AAPL,2024
13652000000.0,TSLA,2024
86181000000.0,MSFT,2024
42598000000.0,NVDA,2024
82406000000.0,GOOGL,2024
37684000000.0,AMZN,2024
45758000000.0,META,2024
28177000000.0,TSM,2024
10273000000.0,AVGO,2024
17396000000.0,TCEHY,2024
